Financ,Procedim,Descrição,Fisico,Medio/Unit,Orçamentario,% Incremento,Valor Increm,Total Orçado,Apuração,Competência,Num_CNES,Nome_estabelecimento
MAC,010101002,ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPE,10,"2,70","27,00","0,00","0,00","27,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,020201007,DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),130,"10,00","1.300,00","0,00","0,00","1.300,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201012,DOSAGEM DE ACIDO URICO,640,"1,85","1.184,00","0,00","0,00","1.184,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201018,DOSAGEM DE AMILASE,200,"2,25","450,00","0,00","0,00","450,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201020,DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,200,"2,01","402,00","0,00","0,00","402,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201021,DOSAGEM DE CALCIO,100,"1,85","185,00","0,00","0,00","185,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201022,DOSAGEM DE CALCIO IONIZAVEL,200,"3,51","702,00","0,00","0,00","702,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201027,DOSAGEM DE COLESTEROL HDL,150,"3,51","526,50","0,00","0,00","526,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201028,DOSAGEM DE COLESTEROL LDL,200,"3,51","702,00","0,00","0,00","702,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201029,DOSAGEM DE COLESTEROL TOTAL,200,"1,85","370,00","0,00","0,00","370,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201031,DOSAGEM DE CREATININA,750,"1,85","1.387,50","0,00","0,00","1.387,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201032,DOSAGEM DE CREATINOFOSFOQUINASE (CPK),150,"3,68","552,00","0,00","0,00","552,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201033,DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,200,"4,12","824,00","0,00","0,00","824,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201036,DOSAGEM DE DESIDROGENASE LATICA,50,"3,68","184,00","0,00","0,00","184,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201042,DOSAGEM DE FOSFATASE ALCALINA,200,"2,01","402,00","0,00","0,00","402,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201043,DOSAGEM DE FOSFORO,150,"1,85","277,50","0,00","0,00","277,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201046,DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),250,"3,51","877,50","0,00","0,00","877,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201047,DOSAGEM DE GLICOSE,200,"1,85","370,00","0,00","0,00","370,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201050,DOSAGEM DE HEMOGLOBINA GLICOSILADA,50,"7,86","393,00","0,00","0,00","393,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
